,品类,日期,数量
365,中性乐福鞋,2015-06-12,3.0
366,中性乐福鞋,2015-06-13,1.0
367,中性乐福鞋,2015-06-14,3.0
368,中性乐福鞋,2015-06-15,3.0
369,中性乐福鞋,2015-06-16,4.0
370,中性乐福鞋,2015-06-17,0.0
371,中性乐福鞋,2015-06-18,2.0
372,中性乐福鞋,2015-06-19,2.0
373,中性乐福鞋,2015-06-20,3.0
374,中性乐福鞋,2015-06-21,6.0
375,中性乐福鞋,2015-06-22,1.0
376,中性乐福鞋,2015-06-23,-1.0
377,中性乐福鞋,2015-06-24,2.0
378,中性乐福鞋,2015-06-25,1.0
379,中性乐福鞋,2015-06-26,5.0
380,中性乐福鞋,2015-06-27,1.0
381,中性乐福鞋,2015-06-28,2.0
382,中性乐福鞋,2015-07-01,1.0
383,中性乐福鞋,2015-07-02,4.0
384,中性乐福鞋,2015-07-03,2.0
385,中性乐福鞋,2015-07-04,6.0
386,中性乐福鞋,2015-07-05,7.0
387,中性乐福鞋,2015-07-06,1.0
388,中性乐福鞋,2015-07-07,2.0
389,中性乐福鞋,2015-07-08,1.0
390,中性乐福鞋,2015-07-09,1.0
391,中性乐福鞋,2015-07-10,2.0
392,中性乐福鞋,2015-07-11,1.0
393,中性乐福鞋,2015-07-12,2.0
394,中性乐福鞋,2015-07-14,3.0
395,中性乐福鞋,2015-07-15,1.0
396,中性乐福鞋,2015-07-17,2.0
397,中性乐福鞋,2015-07-18,4.0
398,中性乐福鞋,2015-07-19,7.0
399,中性乐福鞋,2015-07-20,4.0
400,中性乐福鞋,2015-07-21,4.0
401,中性乐福鞋,2015-07-22,3.0
402,中性乐福鞋,2015-07-23,3.0
403,中性乐福鞋,2015-07-24,2.0
404,中性乐福鞋,2015-07-25,5.0
405,中性乐福鞋,2015-07-26,5.0
406,中性乐福鞋,2015-07-27,2.0
407,中性乐福鞋,2015-07-28,1.0
408,中性乐福鞋,2015-07-29,9.0
409,中性乐福鞋,2015-07-30,4.0
410,中性乐福鞋,2015-07-31,3.0
411,中性乐福鞋,2015-08-01,1.0
412,中性乐福鞋,2015-08-02,2.0
413,中性乐福鞋,2015-08-03,1.0
414,中性乐福鞋,2015-08-04,1.0
415,中性乐福鞋,2015-08-05,5.0
416,中性乐福鞋,2015-08-07,7.0
417,中性乐福鞋,2015-08-09,4.0
418,中性乐福鞋,2015-08-10,3.0
419,中性乐福鞋,2015-08-11,3.0
420,中性乐福鞋,2015-08-12,5.0
421,中性乐福鞋,2015-08-13,2.0
422,中性乐福鞋,2015-08-14,2.0
423,中性乐福鞋,2015-08-15,7.0
424,中性乐福鞋,2015-08-16,5.0
425,中性乐福鞋,2015-08-17,5.0
426,中性乐福鞋,2015-08-18,3.0
427,中性乐福鞋,2015-08-19,7.0
428,中性乐福鞋,2015-08-20,10.0
429,中性乐福鞋,2015-08-21,10.0
430,中性乐福鞋,2015-08-22,13.0
431,中性乐福鞋,2015-08-23,13.0
432,中性乐福鞋,2015-08-24,7.0
433,中性乐福鞋,2015-08-25,4.0
434,中性乐福鞋,2015-08-26,9.0
435,中性乐福鞋,2015-08-27,7.0
436,中性乐福鞋,2015-08-28,13.0
437,中性乐福鞋,2015-08-29,15.0
438,中性乐福鞋,2015-08-30,17.0
439,中性乐福鞋,2015-08-31,12.0
440,中性乐福鞋,2015-09-01,8.0
441,中性乐福鞋,2015-09-02,15.0
442,中性乐福鞋,2015-09-03,23.0
443,中性乐福鞋,2015-09-04,17.0
444,中性乐福鞋,2015-09-05,12.0
445,中性乐福鞋,2015-09-06,8.0
446,中性乐福鞋,2015-09-07,15.0
447,中性乐福鞋,2015-09-08,10.0
448,中性乐福鞋,2015-09-09,13.0
449,中性乐福鞋,2015-09-10,12.0
450,中性乐福鞋,2015-09-11,14.0
451,中性乐福鞋,2015-09-12,26.0
452,中性乐福鞋,2015-09-13,23.0
453,中性乐福鞋,2015-09-14,7.0
454,中性乐福鞋,2015-09-15,9.0
455,中性乐福鞋,2015-09-16,14.0
456,中性乐福鞋,2015-09-17,22.0
457,中性乐福鞋,2015-09-18,15.0
458,中性乐福鞋,2015-09-19,49.0
459,中性乐福鞋,2015-09-20,47.0
460,中性乐福鞋,2015-09-21,23.0
461,中性乐福鞋,2015-09-22,22.0
462,中性乐福鞋,2015-09-23,22.0
463,中性乐福鞋,2015-09-24,22.0
464,中性乐福鞋,2015-09-25,17.0
465,中性乐福鞋,2015-09-26,52.0
466,中性乐福鞋,2015-09-27,54.0
467,中性乐福鞋,2015-09-28,27.0
468,中性乐福鞋,2015-09-29,8.0
469,中性乐福鞋,2015-09-30,31.0
470,中性乐福鞋,2015-10-01,59.0
471,中性乐福鞋,2015-10-02,45.0
472,中性乐福鞋,2015-10-03,41.0
473,中性乐福鞋,2015-10-04,45.0
474,中性乐福鞋,2015-10-05,28.0
475,中性乐福鞋,2015-10-06,33.0
476,中性乐福鞋,2015-10-07,36.0
477,中性乐福鞋,2015-10-08,16.0
478,中性乐福鞋,2015-10-09,43.0
479,中性乐福鞋,2015-10-10,38.0
480,中性乐福鞋,2015-10-11,88.0
481,中性乐福鞋,2015-10-12,42.0
482,中性乐福鞋,2015-10-13,38.0
483,中性乐福鞋,2015-10-14,35.0
484,中性乐福鞋,2015-10-15,32.0
485,中性乐福鞋,2015-10-16,30.0
486,中性乐福鞋,2015-10-17,48.0
487,中性乐福鞋,2015-10-18,78.0
488,中性乐福鞋,2015-10-19,28.0
489,中性乐福鞋,2015-10-20,18.0
490,中性乐福鞋,2015-10-21,18.0
491,中性乐福鞋,2015-10-22,27.0
492,中性乐福鞋,2015-10-23,47.0
493,中性乐福鞋,2015-10-24,53.0
494,中性乐福鞋,2015-10-25,55.0
495,中性乐福鞋,2015-10-26,30.0
496,中性乐福鞋,2015-10-27,25.0
497,中性乐福鞋,2015-10-28,34.0
498,中性乐福鞋,2015-10-29,40.0
499,中性乐福鞋,2015-10-30,44.0
500,中性乐福鞋,2015-10-31,80.0
501,中性乐福鞋,2015-11-01,73.0
502,中性乐福鞋,2015-11-02,31.0
503,中性乐福鞋,2015-11-03,34.0
504,中性乐福鞋,2015-11-04,37.0
505,中性乐福鞋,2015-11-05,29.0
506,中性乐福鞋,2015-11-06,41.0
507,中性乐福鞋,2015-11-07,49.0
508,中性乐福鞋,2015-11-08,52.0
509,中性乐福鞋,2015-11-09,12.0
510,中性乐福鞋,2015-11-10,26.0
511,中性乐福鞋,2015-11-11,38.0
512,中性乐福鞋,2015-11-12,31.0
513,中性乐福鞋,2015-11-13,30.0
514,中性乐福鞋,2015-11-14,43.0
515,中性乐福鞋,2015-11-15,42.0
516,中性乐福鞋,2015-11-16,22.0
517,中性乐福鞋,2015-11-17,25.0
518,中性乐福鞋,2015-11-18,38.0
519,中性乐福鞋,2015-11-19,26.0
520,中性乐福鞋,2015-11-20,24.0
521,中性乐福鞋,2015-11-21,33.0
522,中性乐福鞋,2015-11-22,50.0
523,中性乐福鞋,2015-11-23,15.0
524,中性乐福鞋,2015-11-24,25.0
525,中性乐福鞋,2015-11-25,17.0
526,中性乐福鞋,2015-11-26,8.0
527,中性乐福鞋,2015-11-27,20.0
528,中性乐福鞋,2015-11-28,25.0
529,中性乐福鞋,2015-11-29,26.0
530,中性乐福鞋,2015-11-30,4.0
531,中性乐福鞋,2015-12-01,10.0
532,中性乐福鞋,2015-12-02,14.0
533,中性乐福鞋,2015-12-03,8.0
534,中性乐福鞋,2015-12-04,14.0
535,中性乐福鞋,2015-12-05,8.0
536,中性乐福鞋,2015-12-06,15.0
537,中性乐福鞋,2015-12-07,6.0
538,中性乐福鞋,2015-12-08,9.0
539,中性乐福鞋,2015-12-09,3.0
540,中性乐福鞋,2015-12-10,12.0
541,中性乐福鞋,2015-12-11,5.0
542,中性乐福鞋,2015-12-12,10.0
543,中性乐福鞋,2015-12-13,8.0
544,中性乐福鞋,2015-12-14,8.0
545,中性乐福鞋,2015-12-15,10.0
546,中性乐福鞋,2015-12-16,2.0
547,中性乐福鞋,2015-12-17,7.0
548,中性乐福鞋,2015-12-18,7.0
549,中性乐福鞋,2015-12-19,8.0
550,中性乐福鞋,2015-12-20,4.0
551,中性乐福鞋,2015-12-21,3.0
552,中性乐福鞋,2015-12-22,8.0
553,中性乐福鞋,2015-12-23,2.0
554,中性乐福鞋,2015-12-24,8.0
555,中性乐福鞋,2015-12-25,2.0
556,中性乐福鞋,2015-12-26,3.0
557,中性乐福鞋,2015-12-27,7.0
558,中性乐福鞋,2015-12-28,4.0
559,中性乐福鞋,2015-12-29,1.0
560,中性乐福鞋,2015-12-30,5.0
561,中性乐福鞋,2015-12-31,3.0
562,中性马丁鞋,2015-01-01,1.0
563,中性马丁鞋,2015-01-02,4.0
564,中性马丁鞋,2015-01-03,3.0
565,中性马丁鞋,2015-01-04,3.0
566,中性马丁鞋,2015-01-07,4.0
567,中性马丁鞋,2015-01-10,4.0
568,中性马丁鞋,2015-01-12,1.0
569,中性马丁鞋,2015-01-13,3.0
570,中性马丁鞋,2015-01-14,2.0
571,中性马丁鞋,2015-01-16,2.0
572,中性马丁鞋,2015-01-17,1.0
573,中性马丁鞋,2015-01-18,2.0
574,中性马丁鞋,2015-01-21,1.0
575,中性马丁鞋,2015-01-22,2.0
576,中性马丁鞋,2015-01-23,4.0
577,中性马丁鞋,2015-01-24,2.0
578,中性马丁鞋,2015-01-25,3.0
579,中性马丁鞋,2015-01-26,3.0
580,中性马丁鞋,2015-01-27,2.0
581,中性马丁鞋,2015-01-28,2.0
582,中性马丁鞋,2015-01-29,5.0
583,中性马丁鞋,2015-01-30,4.0
584,中性马丁鞋,2015-01-31,4.0
585,中性马丁鞋,2015-02-01,6.0
586,中性马丁鞋,2015-02-02,6.0
587,中性马丁鞋,2015-02-03,5.0
588,中性马丁鞋,2015-02-04,3.0
589,中性马丁鞋,2015-02-05,7.0
590,中性马丁鞋,2015-02-06,10.0
591,中性马丁鞋,2015-02-07,6.0
592,中性马丁鞋,2015-02-08,9.0
593,中性马丁鞋,2015-02-09,6.0
594,中性马丁鞋,2015-02-10,10.0
595,中性马丁鞋,2015-02-11,7.0
596,中性马丁鞋,2015-02-12,20.0
597,中性马丁鞋,2015-02-13,9.0
598,中性马丁鞋,2015-02-14,8.0
599,中性马丁鞋,2015-02-15,10.0
600,中性马丁鞋,2015-02-16,11.0
601,中性马丁鞋,2015-02-17,11.0
602,中性马丁鞋,2015-02-18,4.0
603,中性马丁鞋,2015-02-19,2.0
604,中性马丁鞋,2015-02-20,2.0
605,中性马丁鞋,2015-02-21,6.0
606,中性马丁鞋,2015-02-22,4.0
607,中性马丁鞋,2015-02-23,2.0
608,中性马丁鞋,2015-02-24,8.0
609,中性马丁鞋,2015-02-25,6.0
610,中性马丁鞋,2015-02-26,4.0
611,中性马丁鞋,2015-02-27,3.0
612,中性马丁鞋,2015-02-28,5.0
613,中性马丁鞋,2015-03-01,3.0
614,中性马丁鞋,2015-03-02,3.0
615,中性马丁鞋,2015-03-03,1.0
616,中性马丁鞋,2015-03-04,3.0
617,中性马丁鞋,2015-03-05,7.0
618,中性马丁鞋,2015-03-06,3.0
619,中性马丁鞋,2015-03-07,5.0
620,中性马丁鞋,2015-03-08,9.0
621,中性马丁鞋,2015-03-09,3.0
622,中性马丁鞋,2015-03-10,2.0
623,中性马丁鞋,2015-03-11,3.0
624,中性马丁鞋,2015-03-13,5.0
625,中性马丁鞋,2015-03-14,5.0
626,中性马丁鞋,2015-03-15,7.0
627,中性马丁鞋,2015-03-16,3.0
628,中性马丁鞋,2015-03-18,2.0
629,中性马丁鞋,2015-03-19,1.0
630,中性马丁鞋,2015-03-20,6.0
631,中性马丁鞋,2015-03-21,8.0
632,中性马丁鞋,2015-03-22,3.0
633,中性马丁鞋,2015-03-23,1.0
634,中性马丁鞋,2015-03-24,1.0
635,中性马丁鞋,2015-03-25,1.0
636,中性马丁鞋,2015-03-26,3.0
637,中性马丁鞋,2015-03-27,4.0
638,中性马丁鞋,2015-03-28,4.0
639,中性马丁鞋,2015-03-29,1.0
640,中性马丁鞋,2015-03-30,1.0
641,中性马丁鞋,2015-03-31,3.0
642,中性马丁鞋,2015-04-01,4.0
643,中性马丁鞋,2015-04-02,1.0
644,中性马丁鞋,2015-04-04,3.0
645,中性马丁鞋,2015-04-05,2.0
646,中性马丁鞋,2015-04-08,4.0
647,中性马丁鞋,2015-04-09,3.0
648,中性马丁鞋,2015-04-10,1.0
649,中性马丁鞋,2015-04-13,1.0
650,中性马丁鞋,2015-04-14,2.0
651,中性马丁鞋,2015-04-15,4.0
652,中性马丁鞋,2015-04-18,4.0
653,中性马丁鞋,2015-04-19,1.0
654,中性马丁鞋,2015-04-20,1.0
655,中性马丁鞋,2015-04-21,2.0
656,中性马丁鞋,2015-04-22,1.0
657,中性马丁鞋,2015-04-25,2.0
658,中性马丁鞋,2015-04-26,5.0
659,中性马丁鞋,2015-04-28,4.0
660,中性马丁鞋,2015-04-30,7.0
661,中性马丁鞋,2015-05-01,2.0
662,中性马丁鞋,2015-05-02,5.0
663,中性马丁鞋,2015-05-07,2.0
664,中性马丁鞋,2015-05-08,1.0
665,中性马丁鞋,2015-05-09,2.0
666,中性马丁鞋,2015-05-10,3.0
667,中性马丁鞋,2015-05-12,1.0
668,中性马丁鞋,2015-05-13,2.0
669,中性马丁鞋,2015-05-17,1.0
670,中性马丁鞋,2015-05-18,1.0
671,中性马丁鞋,2015-05-20,2.0
672,中性马丁鞋,2015-05-21,0.0
673,中性马丁鞋,2015-05-23,2.0
674,中性马丁鞋,2015-05-26,1.0
675,中性马丁鞋,2015-05-27,1.0
676,中性马丁鞋,2015-05-30,1.0
677,中性马丁鞋,2015-06-14,1.0
678,中性马丁鞋,2015-06-15,1.0
679,中性马丁鞋,2015-06-29,2.0
680,中性马丁鞋,2015-07-06,1.0
681,中性马丁鞋,2015-07-12,2.0
682,中性马丁鞋,2015-07-17,1.0
683,中性马丁鞋,2015-07-19,1.0
684,中性马丁鞋,2015-07-20,0.0
685,中性马丁鞋,2015-07-21,1.0
686,中性马丁鞋,2015-07-31,2.0
687,中性马丁鞋,2015-08-07,1.0
688,中性马丁鞋,2015-08-11,1.0
689,中性马丁鞋,2015-08-21,1.0
690,中性马丁鞋,2015-08-26,1.0
691,中性马丁鞋,2015-08-27,3.0
692,中性马丁鞋,2015-08-30,1.0
693,中性马丁鞋,2015-08-31,2.0
694,中性马丁鞋,2015-09-02,1.0
695,中性马丁鞋,2015-09-03,1.0
696,中性马丁鞋,2015-09-04,2.0
697,中性马丁鞋,2015-09-06,1.0
698,中性马丁鞋,2015-09-13,2.0
699,中性马丁鞋,2015-09-16,2.0
700,中性马丁鞋,2015-09-17,1.0
701,中性马丁鞋,2015-09-18,2.0
702,中性马丁鞋,2015-09-19,4.0
703,中性马丁鞋,2015-09-20,2.0
704,中性马丁鞋,2015-09-21,1.0
705,中性马丁鞋,2015-09-22,1.0
706,中性马丁鞋,2015-09-23,1.0
707,中性马丁鞋,2015-09-24,2.0
708,中性马丁鞋,2015-09-26,2.0
709,中性马丁鞋,2015-09-27,3.0
710,中性马丁鞋,2015-09-30,2.0
711,中性马丁鞋,2015-10-01,3.0
712,中性马丁鞋,2015-10-02,6.0
713,中性马丁鞋,2015-10-03,4.0
714,中性马丁鞋,2015-10-04,8.0
715,中性马丁鞋,2015-10-05,2.0
716,中性马丁鞋,2015-10-06,1.0
717,中性马丁鞋,2015-10-07,1.0
718,中性马丁鞋,2015-10-08,1.0
719,中性马丁鞋,2015-10-09,2.0
720,中性马丁鞋,2015-10-11,4.0
721,中性马丁鞋,2015-10-12,2.0
722,中性马丁鞋,2015-10-13,5.0
723,中性马丁鞋,2015-10-15,3.0
724,中性马丁鞋,2015-10-16,2.0
725,中性马丁鞋,2015-10-17,4.0
726,中性马丁鞋,2015-10-18,9.0
727,中性马丁鞋,2015-10-19,3.0
728,中性马丁鞋,2015-10-20,1.0
729,中性马丁鞋,2015-10-21,5.0
730,中性马丁鞋,2015-10-22,1.0
731,中性马丁鞋,2015-10-23,2.0
732,中性马丁鞋,2015-10-24,2.0
733,中性马丁鞋,2015-10-25,1.0
734,中性马丁鞋,2015-10-26,1.0
735,中性马丁鞋,2015-10-27,1.0
736,中性马丁鞋,2015-10-28,3.0
737,中性马丁鞋,2015-10-29,1.0
738,中性马丁鞋,2015-10-31,7.0
739,中性马丁鞋,2015-11-01,4.0
740,中性马丁鞋,2015-11-02,5.0
741,中性马丁鞋,2015-11-03,3.0
742,中性马丁鞋,2015-11-04,2.0
743,中性马丁鞋,2015-11-05,2.0
744,中性马丁鞋,2015-11-06,4.0
745,中性马丁鞋,2015-11-07,5.0
746,中性马丁鞋,2015-11-08,3.0
747,中性马丁鞋,2015-11-10,4.0
748,中性马丁鞋,2015-11-11,2.0
749,中性马丁鞋,2015-11-12,5.0
750,中性马丁鞋,2015-11-13,5.0
751,中性马丁鞋,2015-11-14,4.0
752,中性马丁鞋,2015-11-15,7.0
753,中性马丁鞋,2015-11-16,2.0
754,中性马丁鞋,2015-11-18,1.0
755,中性马丁鞋,2015-11-19,4.0
756,中性马丁鞋,2015-11-20,5.0
757,中性马丁鞋,2015-11-21,6.0
758,中性马丁鞋,2015-11-22,4.0
759,中性马丁鞋,2015-11-23,2.0
760,中性马丁鞋,2015-11-24,1.0
761,中性马丁鞋,2015-11-25,2.0
762,中性马丁鞋,2015-11-26,3.0
763,中性马丁鞋,2015-11-27,5.0
764,中性马丁鞋,2015-11-28,16.0
765,中性马丁鞋,2015-11-29,15.0
766,中性马丁鞋,2015-11-30,2.0
767,中性马丁鞋,2015-12-01,5.0
768,中性马丁鞋,2015-12-02,5.0
769,中性马丁鞋,2015-12-03,14.0
770,中性马丁鞋,2015-12-04,16.0
771,中性马丁鞋,2015-12-05,14.0
772,中性马丁鞋,2015-12-06,23.0
773,中性马丁鞋,2015-12-07,7.0
774,中性马丁鞋,2015-12-08,10.0
775,中性马丁鞋,2015-12-09,9.0
776,中性马丁鞋,2015-12-10,12.0
777,中性马丁鞋,2015-12-11,14.0
778,中性马丁鞋,2015-12-12,49.0
779,中性马丁鞋,2015-12-13,25.0
780,中性马丁鞋,2015-12-14,9.0
781,中性马丁鞋,2015-12-15,8.0
782,中性马丁鞋,2015-12-16,7.0
783,中性马丁鞋,2015-12-17,10.0
784,中性马丁鞋,2015-12-18,10.0
785,中性马丁鞋,2015-12-19,26.0
786,中性马丁鞋,2015-12-20,25.0
787,中性马丁鞋,2015-12-21,6.0
788,中性马丁鞋,2015-12-22,8.0
789,中性马丁鞋,2015-12-23,2.0
790,中性马丁鞋,2015-12-24,20.0
791,中性马丁鞋,2015-12-25,14.0
792,中性马丁鞋,2015-12-26,14.0
793,中性马丁鞋,2015-12-27,13.0
794,中性马丁鞋,2015-12-28,9.0
795,中性马丁鞋,2015-12-29,20.0
796,中性马丁鞋,2015-12-30,13.0
797,中性马丁鞋,2015-12-31,14.0
798,便装鞋,2015-02-10,0.0
799,便装鞋,2015-02-12,1.0
800,便装鞋,2015-02-13,1.0
801,便装鞋,2015-02-14,3.0
802,便装鞋,2015-02-15,3.0
803,便装鞋,2015-02-16,1.0
804,便装鞋,2015-02-17,4.0
805,便装鞋,2015-02-22,2.0
806,便装鞋,2015-02-23,1.0
807,便装鞋,2015-02-26,1.0
808,便装鞋,2015-02-28,3.0
809,便装鞋,2015-03-01,4.0
810,便装鞋,2015-03-03,3.0
811,便装鞋,2015-03-04,3.0
812,便装鞋,2015-03-07,1.0
813,便装鞋,2015-03-08,6.0
814,便装鞋,2015-03-09,3.0
815,便装鞋,2015-03-10,2.0
816,便装鞋,2015-03-12,1.0
817,便装鞋,2015-03-13,2.0
818,便装鞋,2015-03-14,3.0
819,便装鞋,2015-03-15,3.0
820,便装鞋,2015-03-16,4.0
821,便装鞋,2015-03-17,2.0
822,便装鞋,2015-03-18,7.0
823,便装鞋,2015-03-19,2.0
824,便装鞋,2015-03-20,9.0
825,便装鞋,2015-03-21,10.0
826,便装鞋,2015-03-22,8.0
827,便装鞋,2015-03-23,1.0
828,便装鞋,2015-03-24,0.0
829,便装鞋,2015-03-25,1.0
830,便装鞋,2015-03-27,8.0
831,便装鞋,2015-03-28,18.0
832,便装鞋,2015-03-29,23.0
833,便装鞋,2015-03-30,6.0
834,便装鞋,2015-03-31,15.0
835,便装鞋,2015-04-01,16.0
836,便装鞋,2015-04-02,20.0
837,便装鞋,2015-04-03,9.0
838,便装鞋,2015-04-04,25.0
839,便装鞋,2015-04-05,19.0
840,便装鞋,2015-04-06,8.0
841,便装鞋,2015-04-07,4.0
842,便装鞋,2015-04-08,4.0
843,便装鞋,2015-04-09,1.0
844,便装鞋,2015-04-10,1.0
845,便装鞋,2015-04-11,4.0
846,便装鞋,2015-04-12,17.0
847,便装鞋,2015-04-13,3.0
848,便装鞋,2015-04-14,8.0
849,便装鞋,2015-04-15,9.0
850,便装鞋,2015-04-16,8.0
851,便装鞋,2015-04-17,8.0
852,便装鞋,2015-04-18,9.0
853,便装鞋,2015-04-19,19.0
854,便装鞋,2015-04-20,4.0
855,便装鞋,2015-04-21,1.0
856,便装鞋,2015-04-22,5.0
857,便装鞋,2015-04-23,8.0
858,便装鞋,2015-04-24,21.0
859,便装鞋,2015-04-25,19.0
860,便装鞋,2015-04-26,24.0
861,便装鞋,2015-04-27,17.0
862,便装鞋,2015-04-28,6.0
863,便装鞋,2015-04-29,21.0
864,便装鞋,2015-04-30,22.0
865,便装鞋,2015-05-01,55.0
866,便装鞋,2015-05-02,28.0
867,便装鞋,2015-05-03,21.0
868,便装鞋,2015-05-04,9.0
869,便装鞋,2015-05-05,10.0
870,便装鞋,2015-05-06,11.0
871,便装鞋,2015-05-07,10.0
872,便装鞋,2015-05-08,14.0
873,便装鞋,2015-05-09,15.0
874,便装鞋,2015-05-10,29.0
875,便装鞋,2015-05-11,9.0
876,便装鞋,2015-05-12,9.0
877,便装鞋,2015-05-13,5.0
878,便装鞋,2015-05-14,4.0
879,便装鞋,2015-05-15,3.0
880,便装鞋,2015-05-16,10.0
881,便装鞋,2015-05-17,7.0
882,便装鞋,2015-05-18,6.0
883,便装鞋,2015-05-19,6.0
884,便装鞋,2015-05-20,5.0
885,便装鞋,2015-05-21,5.0
886,便装鞋,2015-05-22,5.0
887,便装鞋,2015-05-23,6.0
888,便装鞋,2015-05-24,6.0
889,便装鞋,2015-05-25,7.0
890,便装鞋,2015-05-26,4.0
891,便装鞋,2015-05-27,6.0
892,便装鞋,2015-05-28,7.0
893,便装鞋,2015-05-29,2.0
894,便装鞋,2015-05-30,5.0
895,便装鞋,2015-05-31,9.0
896,便装鞋,2015-06-01,4.0
897,便装鞋,2015-06-02,5.0
898,便装鞋,2015-06-03,3.0
899,便装鞋,2015-06-04,5.0
900,便装鞋,2015-06-05,2.0
901,便装鞋,2015-06-07,5.0
902,便装鞋,2015-06-08,4.0
903,便装鞋,2015-06-09,0.0
904,便装鞋,2015-06-10,4.0
905,便装鞋,2015-06-11,1.0
906,便装鞋,2015-06-12,2.0
907,便装鞋,2015-06-13,6.0
908,便装鞋,2015-06-14,8.0
909,便装鞋,2015-06-16,2.0
910,便装鞋,2015-06-17,1.0
911,便装鞋,2015-06-18,6.0
912,便装鞋,2015-06-19,4.0
913,便装鞋,2015-06-20,3.0
914,便装鞋,2015-06-21,6.0
915,便装鞋,2015-06-22,1.0
916,便装鞋,2015-06-23,2.0
917,便装鞋,2015-06-24,1.0
918,便装鞋,2015-06-25,1.0
919,便装鞋,2015-06-26,1.0
920,便装鞋,2015-06-27,2.0
921,便装鞋,2015-06-28,3.0
922,便装鞋,2015-06-29,2.0
923,便装鞋,2015-06-30,3.0
924,便装鞋,2015-07-01,3.0
925,便装鞋,2015-07-02,1.0
926,便装鞋,2015-07-03,2.0
927,便装鞋,2015-07-04,2.0
928,便装鞋,2015-07-05,3.0
929,便装鞋,2015-07-06,1.0
930,便装鞋,2015-07-08,1.0
931,便装鞋,2015-07-09,1.0
932,便装鞋,2015-07-10,1.0
933,便装鞋,2015-07-11,9.0
934,便装鞋,2015-07-12,4.0
935,便装鞋,2015-07-14,4.0
936,便装鞋,2015-07-15,1.0
937,便装鞋,2015-07-16,1.0
938,便装鞋,2015-07-17,3.0
939,便装鞋,2015-07-18,1.0
940,便装鞋,2015-07-19,4.0
941,便装鞋,2015-07-20,1.0
942,便装鞋,2015-07-21,5.0
943,便装鞋,2015-07-22,6.0
944,便装鞋,2015-07-23,1.0
945,便装鞋,2015-07-24,2.0
946,便装鞋,2015-07-25,7.0
947,便装鞋,2015-07-26,2.0
948,便装鞋,2015-07-27,3.0
949,便装鞋,2015-07-28,4.0
950,便装鞋,2015-07-29,6.0
951,便装鞋,2015-07-30,9.0
952,便装鞋,2015-07-31,3.0
953,便装鞋,2015-08-01,3.0
954,便装鞋,2015-08-02,5.0
955,便装鞋,2015-08-03,1.0
956,便装鞋,2015-08-04,7.0
957,便装鞋,2015-08-05,2.0
958,便装鞋,2015-08-06,12.0
959,便装鞋,2015-08-07,3.0
960,便装鞋,2015-08-08,4.0
961,便装鞋,2015-08-09,7.0
962,便装鞋,2015-08-10,6.0
963,便装鞋,2015-08-11,1.0
964,便装鞋,2015-08-12,5.0
965,便装鞋,2015-08-14,6.0
966,便装鞋,2015-08-15,2.0
967,便装鞋,2015-08-16,11.0
968,便装鞋,2015-08-17,2.0
969,便装鞋,2015-08-18,3.0
970,便装鞋,2015-08-19,4.0
971,便装鞋,2015-08-20,5.0
972,便装鞋,2015-08-21,5.0
973,便装鞋,2015-08-22,6.0
974,便装鞋,2015-08-23,5.0
975,便装鞋,2015-08-24,1.0
976,便装鞋,2015-08-25,2.0
977,便装鞋,2015-08-26,2.0
978,便装鞋,2015-08-27,3.0
979,便装鞋,2015-08-29,2.0
980,便装鞋,2015-08-30,3.0
981,便装鞋,2015-08-31,5.0
982,便装鞋,2015-09-01,3.0
983,便装鞋,2015-09-02,4.0
984,便装鞋,2015-09-03,4.0
985,便装鞋,2015-09-04,4.0
986,便装鞋,2015-09-05,3.0
987,便装鞋,2015-09-06,5.0
988,便装鞋,2015-09-07,1.0
989,便装鞋,2015-09-08,3.0
990,便装鞋,2015-09-09,2.0
991,便装鞋,2015-09-10,1.0
992,便装鞋,2015-09-11,6.0
993,便装鞋,2015-09-12,2.0
994,便装鞋,2015-09-13,3.0
995,便装鞋,2015-09-14,3.0
996,便装鞋,2015-09-15,3.0
997,便装鞋,2015-09-16,1.0
998,便装鞋,2015-09-17,2.0
999,便装鞋,2015-09-18,3.0
1000,便装鞋,2015-09-19,6.0
1001,便装鞋,2015-09-20,6.0
1002,便装鞋,2015-09-21,2.0
1003,便装鞋,2015-09-22,5.0
1004,便装鞋,2015-09-23,3.0
1005,便装鞋,2015-09-24,2.0
1006,便装鞋,2015-09-25,4.0
1007,便装鞋,2015-09-26,8.0
1008,便装鞋,2015-09-27,4.0
1009,便装鞋,2015-09-28,2.0
1010,便装鞋,2015-09-29,2.0
1011,便装鞋,2015-09-30,8.0
1012,便装鞋,2015-10-01,8.0
1013,便装鞋,2015-10-02,4.0
1014,便装鞋,2015-10-03,1.0
1015,便装鞋,2015-10-04,-1.0
1016,便装鞋,2015-10-05,2.0
1017,便装鞋,2015-10-06,6.0
1018,便装鞋,2015-10-07,8.0
1019,便装鞋,2015-10-08,1.0
1020,便装鞋,2015-10-09,2.0
1021,便装鞋,2015-10-10,2.0
1022,便装鞋,2015-10-11,7.0
1023,便装鞋,2015-10-12,0.0
1024,便装鞋,2015-10-13,8.0
1025,便装鞋,2015-10-14,3.0
1026,便装鞋,2015-10-15,2.0
1027,便装鞋,2015-10-16,5.0
1028,便装鞋,2015-10-17,8.0
1029,便装鞋,2015-10-18,3.0
1030,便装鞋,2015-10-19,3.0
